,0
2020-07-09,28.0
2020-07-10,37.0
2020-07-11,33.0
2020-07-12,30.0
2020-07-13,34.0
2020-07-14,32.0
2020-07-15,22.0
2020-07-16,17.0
2020-07-17,21.0
2020-07-18,24.0
2020-07-19,21.0
2020-07-20,23.0
2020-07-21,28.0
2020-07-22,29.0
2020-07-23,19.0
2020-07-24,13.0
2020-07-25,18.0
2020-07-26,22.0
2020-07-27,16.0
2020-07-28,14.0
2020-07-29,18.0
2020-07-30,18.0
2020-07-31,22.0
2020-08-01,18.0
2020-08-02,13.0
2020-08-03,17.0
2020-08-04,14.0
2020-08-05,17.0
2020-08-06,21.0
2020-08-07,17.0
2020-08-08,26.0
2020-08-09,23.0
2020-08-10,23.0
2020-08-11,20.0
2020-08-12,19.0
2020-08-13,16.0
2020-08-14,18.0
2020-08-15,17.0
2020-08-16,14.0
2020-08-17,11.0
2020-08-18,13.0
2020-08-19,14.0
2020-08-20,11.0
2020-08-21,12.0
2020-08-22,14.0
2020-08-23,10.0
2020-08-24,14.0
2020-08-25,15.0
2020-08-26,11.0
2020-08-27,12.0
2020-08-28,13.0
2020-08-29,11.0
2020-08-30,11.0
2020-08-31,11.0
2020-09-01,8.0
2020-09-02,10.0
2020-09-03,9.0
2020-09-04,9.0
2020-09-05,11.0
2020-09-06,13.0
2020-09-07,13.0
2020-09-08,11.0
2020-09-09,7.0
2020-09-10,14.0
2020-09-11,7.0
2020-09-12,10.0
2020-09-13,13.0
2020-09-14,12.0
2020-09-15,13.0
2020-09-16,36.0
2020-09-17,23.0
2020-09-18,17.0
2020-09-19,15.0
2020-09-20,13.0
2020-09-21,13.0
2020-09-22,14.0
2020-09-23,13.0
2020-09-24,12.0
2020-09-25,10.0
2020-09-26,9.0
2020-09-27,9.0
2020-09-28,8.0
2020-09-29,7.0
2020-09-30,12.0
2020-10-01,10.0
2020-10-02,23.0
2020-10-03,13.0
2020-10-04,34.0
2020-10-05,24.0
2020-10-06,17.0
2020-10-07,16.0
2020-10-08,14.0
2020-10-09,11.0
2020-10-10,10.0
2020-10-11,9.0
2020-10-12,9.0
2020-10-13,6.0
2020-10-14,12.0
2020-10-15,8.0
2020-10-16,12.0
2020-10-17,8.0
2020-10-18,8.0
2020-10-19,12.0
2020-10-20,7.0
2020-10-21,9.0
2020-10-22,10.0
2020-10-23,15.0
2020-10-24,7.0
2020-10-25,9.0
2020-10-26,11.0
2020-10-27,9.0
2020-10-28,7.0
2020-10-29,8.0
2020-10-30,10.0
2020-10-31,12.0
2020-11-01,7.0
2020-11-02,9.0
2020-11-03,8.0
2020-11-04,5.0
2020-11-05,7.0
2020-11-06,6.0
2020-11-07,9.0
2020-11-08,8.0
2020-11-09,10.0
2020-11-10,7.0
2020-11-11,9.0
2020-11-12,7.0
2020-11-13,11.0
2020-11-14,11.0
2020-11-15,12.0
2020-11-16,12.0
2020-11-17,17.0
2020-11-18,11.0
2020-11-19,11.0
2020-11-20,10.0
2020-11-21,12.0
2020-11-22,7.0
2020-11-23,7.0
2020-11-24,4.0
2020-11-25,10.0
2020-11-26,7.0
2020-11-27,7.0
2020-11-28,9.0
2020-11-29,8.0
2020-11-30,11.0
2020-12-01,12.0
2020-12-02,11.0
2020-12-03,11.0
2020-12-04,11.0
2020-12-05,12.0
2020-12-06,12.0
2020-12-07,13.0
2020-12-08,14.0
2020-12-09,10.0
2020-12-10,14.0
2020-12-11,12.0
2020-12-12,7.0
2020-12-13,11.0
2020-12-14,9.0
2020-12-15,6.0
2020-12-16,10.0
2020-12-17,11.0
2020-12-18,11.0
2020-12-19,11.0
2020-12-20,12.0
2020-12-21,14.0
2020-12-22,15.0
2020-12-23,9.0
2020-12-24,5.0
2020-12-25,9.0
2020-12-26,8.0
2020-12-27,11.0
2020-12-28,9.0
2020-12-29,12.0
2020-12-30,13.0
2020-12-31,10.0
